place,price_type
Bishan,1.75
Crawford,1.769230769
Frankel,2
Hougang,2
Maritime Square,2.09375
Maxwell,1.666666667
Novena,1.807692308
Serangoon,1.916666667
三巴旺,2
东陵,2.142857143
中区/城区,2.144262295
丹戎巴葛,2.2
亚历山德拉山,1.8
加冷,2
劳明达,2
勿洛,2
勿洛北,2
圣淘沙,2.285714286
大巴窑,2
宏茂桥,2
宏茂桥镇中心,2
政府大厦,2.166666667
新加坡河,2.117647059
榜鹅,2
樟宜,1.933333333
欧南,1
武吉巴督,2
武吉班让,2
武吉知马,1.930232558
淡滨尼东,1.8
淡滨尼西,2
滨海广场,2.290322581
盛港,2
红山 (Bukit Merah),2.035714286
芽笼,1.9
裕廊区域中心,2.1
裕廊西,1
裕廊西中央,1.8
金文泰中央,2
阿拉伯街,1.948717949
马林百列,1.939393939
